Session identifier;38155;0,197708333; 14:31:52;;;;;;;
B;33073;73;13:32:58:21;51.451.368.333;5.486.635.000;0;A;9292;;
1;-98;;;;;;;;;
2;-102;;;;;;;;;
3;-102;;;;;;;;;
5;-101;;;;;;;;;
6;-101;;;;;;;;;
7;-100;;;;;;;;;
;;;;;;;;;;
C;58977;69;13:32:58:0;51.451.371.667;5.485.870.000;9;A;9292;;
1;-98;;;;;;;;;
2;-101;;;;;;;;;
3;-101;;;;;;;;;
4;-103;;;;;;;;;
5;-98;;;;;;;;;
6;-103;;;;;;;;;
7;-99;;;;;;;;;
8;-101;;;;;;;;;
9;-97;;;;;;;;;
10;-97;;;;;;;;;
11;-97;;;;;;;;;
12;-98;;;;;;;;;
13;-98;;;;;;;;;
14;-98;;;;;;;;;
;;;;;;;;;;
E;32828;65;13:32:58:0;51.451.798.333;5.486.181.667;6;A;9292;;
1;-85;;;;;;;;;
2;-86;;;;;;;;;
3;-88;;;;;;;;;
4;-87;;;;;;;;;
5;-86;;;;;;;;;
6;-87;;;;;;;;;
7;-86;;;;;;;;;
8;-86;;;;;;;;;
9;-87;;;;;;;;;
10;-84;;;;;;;;;
11;-86;;;;;;;;;
12;-85;;;;;;;;;
13;-85;;;;;;;;;
14;-85;;;;;;;;;
15;-86;;;;;;;;;
16;-86;;;;;;;;;
17;-90;;;;;;;;;
18;-88;;;;;;;;;
19;-91;;;;;;;;;
20;-91;;;;;;;;;
21;-93;;;;;;;;;
23;-92;;;;;;;;;
24;-91;;;;;;;;;
25;-87;;;;;;;;;
26;-89;;;;;;;;;
E;32828;65;13:32:58:0;51.451.798.333;5.486.181.667;6;A;9292;;
27;-88;;;;;;;;;
28;-90;;;;;;;;;
29;-94;;;;;;;;;
30;-94;;;;;;;;;
F;75450;57;13:32:58:0;51.452.178.333;5.485.840.000;8;A;9292;;
1;-98;;;;;;;;;
2;-103;;;;;;;;;
3;-100;;;;;;;;;
4;-98;;;;;;;;;
5;-99;;;;;;;;;
6;-99;;;;;;;;;
7;-100;;;;;;;;;
8;-102;;;;;;;;;
9;-96;;;;;;;;;
10;-98;;;;;;;;;
11;-100;;;;;;;;;
12;-101;;;;;;;;;
13;-100;;;;;;;;;
14;-99;;;;;;;;;
15;-95;;;;;;;;;
16;-93;;;;;;;;;
17;-101;;;;;;;;;
18;-100;;;;;;;;;
19;-99;;;;;;;;;
20;-99;;;;;;;;;
21;-96;;;;;;;;;
22;-94;;;;;;;;;
23;-93;;;;;;;;;
24;-90;;;;;;;;;
F;75450;57;13:32:58:0;51.452.178.333;5.485.840.000;8;A;9292;;
25;-98;;;;;;;;;
26;-97;;;;;;;;;
27;-96;;;;;;;;;
28;-99;;;;;;;;;
29;-101;;;;;;;;;
30;-101;;;;;;;;;
31;-100;;;;;;;;;
32;-99;;;;;;;;;
33;-100;;;;;;;;;
34;-97;;;;;;;;;
35;-95;;;;;;;;;
36;-93;;;;;;;;;
37;-92;;;;;;;;;
38;-92;;;;;;;;;
39;-92;;;;;;;;;
G;98994;58;13:32:58:0;51.452.178.333;5.486.633.333;8;A;9292;;
1;-92;;;;;;;;;
2;-94;;;;;;;;;
3;-95;;;;;;;;;
4;-96;;;;;;;;;
5;-97;;;;;;;;;
6;-95;;;;;;;;;
7;-96;;;;;;;;;
8;-96;;;;;;;;;
9;-94;;;;;;;;;
10;-95;;;;;;;;;
11;-93;;;;;;;;;
12;-94;;;;;;;;;
13;-94;;;;;;;;;
14;-93;;;;;;;;;
15;-94;;;;;;;;;
16;-96;;;;;;;;;
17;-94;;;;;;;;;
18;-94;;;;;;;;;
19;-93;;;;;;;;;
20;-94;;;;;;;;;
21;-94;;;;;;;;;
22;-93;;;;;;;;;
23;-95;;;;;;;;;
24;-93;;;;;;;;;
25;-91;;;;;;;;;
G;98994;58;13:32:58:0;51.452.178.333;5.486.633.333;8;A;9292;;
26;-90;;;;;;;;;
27;-91;;;;;;;;;
28;-91;;;;;;;;;
29;-92;;;;;;;;;
30;-91;;;;;;;;;
31;-92;;;;;;;;;
32;-90;;;;;;;;;
33;-90;;;;;;;;;
34;-91;;;;;;;;;
35;-90;;;;;;;;;
36;-91;;;;;;;;;
37;-91;;;;;;;;;
38;-91;;;;;;;;;
39;-90;;;;;;;;;
41;-89;;;;;;;;;
42;-89;;;;;;;;;
43;-88;;;;;;;;;
44;-88;;;;;;;;;
45;-89;;;;;;;;;
46;-88;;;;;;;;;
47;-89;;;;;;;;;
B;33073;74;13:32:59>59;51.451.323.333;5.486.603.333;9;A;990;;
9;-97;;;;;;;;;
10;-102;;;;;;;;;
11;-100;;;;;;;;;
12;-100;;;;;;;;;
13;-100;;;;;;;;;
14;-100;;;;;;;;;
15;-99;;;;;;;;;
16;-102;;;;;;;;;
17;-104;;;;;;;;;
18;-102;;;;;;;;;
19;-103;;;;;;;;;
20;-100;;;;;;;;;
21;-101;;;;;;;;;
22;-99;;;;;;;;;
23;-101;;;;;;;;;
24;-101;;;;;;;;;
25;-96;;;;;;;;;
26;-97;;;;;;;;;
27;-96;;;;;;;;;
28;-97;;;;;;;;;
29;-97;;;;;;;;;
30;-99;;;;;;;;;
31;-98;;;;;;;;;
B;33073;74;13:32:59:19;51.451.323.333;5.486.603.333;9;A;9292;;
32;-99m;;;;;;;;;
33;-101;;;;;;;;;
34;-101;;;;;;;;;
35;-103;;;;;;;;;
36;-104;;;;;;;;;
37;-102;;;;;;;;;
3x(m101;;;;;;;;;;
39;-103;;;;;;;;;
40;-103;;;;;;;;;
$!;-101;;;;;;;;;
42;-1;;;;;;;;;
43;-99;;;;;;;;;
44;-101;;;;;;;;;
45;-99;;;;;;;;;
46;-100;;;;;;;;;
47;-99;;;;;;;;;
48;-99;;;;;;;;;
49;-99;;;;;;;;;
50;"-10???fA?_?_?	?`?gL??z??";;;;;;;;;
C;58977;70;13:33:1:0;51.451.371.667;5.485.870.000;9;A;9292;;
17;-95;;;;;;;;;
18;-97;;;;;;;;;
19;-96;;;;;;;;;
20;-96;;;;;;;;;
21;-95;;;;;;;;;
22;-98;;;;;;;;;
23;-97;;;;;;;;;
24;-95;;;;;;;;;
25;-97;;;;;;;;;
26;-96;;;;;;;;;
27;-96;;;;;;;;;
28;-95;;;;;;;;;
29;-97;;;;;;;;;
30;-97;;;;;;;;;
31;-97;;;;;;;;;
32;-96;;;;;;;;;
33;-99;;;;;;;;;
34;-98;;;;;;;;;
35;-98;;;;;;;;;
36;-98;;;;;;;;;
37;-98;;;;;;;;;
38;-95;;;;;;;;;
39;-97;;;;;;;;;
40;-97;;;;;;;;;
C;58977;70;13:33:1:0;51.451.371.667;5.485.870.000;9;A;9292;;
41;-93;;;;;;;;;
42;-98;;;;;;;;;
43;-98;;;;;;;;;
44;-98;;;;;;;;;
45;-99;;;;;;;;;
46;-98;;;;;;;;;
47;-100;;;;;;;;;
48;-97;;;;;;;;;
49;-99;;;;;;;;;
50;-99;;;;;;;;;
51;-99;;;;;;;;;
52;-99;;;;;;;;;
53;-101;;;;;;;;;
54;-101;;;;;;;;;
55;-98;;;;;;;;;
56;-100;;;;;;;;;
59;-102;;;;;;;;;
60;-100;;;;;;;;;
61;-99;;;;;;;;;
62;-101;;;;;;;;;
63;-;;;;;;;;;
E;32828;66;13:33:4:0;51.451.800.000;5.486.185.000;7;A;9292;;
33;-91;;;;;;;;;
34;-97;;;;;;;;;
35;-95;;;;;;;;;
36;-95;;;;;;;;;
37;-95;;;;;;;;;
38;-95;;;;;;;;;
39;-96;;;;;;;;;
40;-92;;;;;;;;;
41;-92;;;;;;;;;
42;-95;;;;;;;;;
43;-93;;;;;;;;;
44;-94;;;;;;;;;
45;-96;;;;;;;;;
46;-95;;;;;;;;;
47;-95;;;;;;;;;
48;-93;;;;;;;;;
49;-97;;;;;;;;;
50;-100;;;;;;;;;
51;-100;;;;;;;;;
52;-101;;;;;;;;;
53;-103;;;;;;;;;
54;-101;;;;;;;;;
55;-103;;;;;;;;;
56;-100;;;;;;;;;
E;32828;66;13:33:4:0;51.451.800.000;5.486.185.000;7;A;9292;;
59;-101;;;;;;;;;
60;-97;;;;;;;;;
61;-97;;;;;;;;;
62;-100;;;;;;;;;
63;-100;;;;;;;;;
64;-98;;;;;;;;;
66;-94;;;;;;;;;
67;-96;;;;;;;;;
68;-94;;;;;;;;;
69;-95;;;;;;;;;
70;-93;;;;;;;;;
71;-95;;;;;;;;;
72;-95;;;;;;;;;
73;-92;;;;;;;;;
74;-96;;;;;;;;;
75;-94;;;;;;;;;
76;-95;;;;;;;;;
77;-95;;;;;;;;;
78;-96;;;;;;;;;
79;-95;;;;;;;;;
F;75450;58;13:33:6:0;51.452.178.333;5.485.840.000;9;A;9292;;
41;-91;;;;;;;;;
42;-95;;;;;;;;;
43;-96;;;;;;;;;
44;-95;;;;;;;;;
45;-95;;;;;;;;;
46;-100;;;;;;;;;
47;-104;;;;;;;;;
49;-96;;;;;;;;;
50;-105;;;;;;;;;
51;-99;;;;;;;;;
52;-96;;;;;;;;;
53;-94;;;;;;;;;
54;-92;;;;;;;;;
55;-91;;;;;;;;;
56;-90;;;;;;;;;
57;-94;;;;;;;;;
58;-93;;;;;;;;;
59;-93;;;;;;;;;
60;-94;;;;;;;;;
61;-96;;;;;;;;;
62;-98;;;;;;;;;
63;-101;;;;;;;;;
64;-104;;;;;;;;;
65;-94;;;;;;;;;
F;75450;58;13:33:6:0;51.452.178.333;5.485.840.000;9;A;9292;;
66;-95;;;;;;;;;
67;-92;;;;;;;;;
68;-91;;;;;;;;;
69;-93;;;;;;;;;
70;-92;;;;;;;;;
71;-91;;;;;;;;;
72;-91;;;;;;;;;
73;-96;;;;;;;;;
74;-98;;;;;;;;;
75;-98;;;;;;;;;
76;-98;;;;;;;;;
77;-101;;;;;;;;;
78;-103;;;;;;;;;
79;-100;;;;;;;;;
80;-99;;;;;;;;;
82;-101;;;;;;;;;
83;-96;;;;;;;;;
84;-93;;;;;;;;;
85;-91;;;;;;;;;
86;-90;;;;;;;;;
87;-9;;;;;;;;;
G;98994;59;13:33:7:0;51.452.178.333;5.486.633.333;8;A;9292;;
49;-82;;;;;;;;;
50;-86;;;;;;;;;
51;-86;;;;;;;;;
52;-86;;;;;;;;;
53;-85;;;;;;;;;
54;-85;;;;;;;;;
55;-86;;;;;;;;;
56;-85;;;;;;;;;
57;-87;;;;;;;;;
58;-86;;;;;;;;;
59;-85;;;;;;;;;
60;-7;;;;;;;;;
61;-85;;;;;;;;;
62;-85;;;;;;;;;
63;-85;;;;;;;;;
64;-84;;;;;;;;;
65;-82;;;;;;;;;
66;-83;;;;;;;;;
67;-83;;;;;;;;;
68;-83;;;;;;;;;
69;-83;;;;;;;;;
70;-81;;;;;;;;;
71;-82;;;;;;;;;
72;-82;;;;;;;;;
G;98994;59;13:33:7:0;51.452.178.333;5.486.633.333;8;A;9292;;
73;-80;;;;;;;;;
74;-80;;;;;;;;;
75;-81;;;;;;;;;
76;-80;;;;;;;;;
77;-79;;;;;;;;;
78;-80;;;;;;;;;
79;-79;;;;;;;;;
80;-78;;;;;;;;;
82;-79;;;;;;;;;
83;-79;;;;;;;;;
84;-77;;;;;;;;;
85;-78;;;;;;;;;
86;-76;;;;;;;;;
87;-77;;;;;;;;;
88;-77;;;;;;;;;
90LKW6;;;;;;;;;;
9?;?7??;;;;;;;;;
92;-76;;;;;;;;;
93;-76;;;;;;;;;
94;-77;;;;;;;;;
15;-77;;;;;;;;;
j?N??R??@???);;;;;;;;;;
B;33073;75;13:33:9:97;51.451.360.000;5.486.643.333;3;A;92l7];;
59;-94;;;;;;;;;
60;-97;;;;;;;;;
61;-99;;;;;;;;;
62;-99;;;;;;;;;
63;-98;;;;;;;;;
64;-97;;;;;;;;;
66;-98;;;;;;;;;
67;-98;;;;;;;;;
68;-99;;;;;;;;;
69;-100;;;;;;;;;
70;-100;;;;;;;;;
71;-100;;;;;;;;;
72;-100;;;;;;;;;
73;-101;;;;;;;;;
74;-100;;;;;;;;;
75;-100;;;;;;;;;
76;-99;;;;;;;;;
77;-99;;;;;;;;;
78;-99;;;;;;;;;
79;-97;;;;;;;;;
80;-99;;;;;;;;;
82;-100;;;;;;;;;
83;-100;;;;;;;;;
C;58977;71;13:33:11:0;51.451.371.667;5.485.870.000;10;A;9292;;
65;-99;;;;;;;;;
67;-100;;;;;;;;;
68;-101;;;;;;;;;
69;-101;;;;;;;;;
70;-100;;;;;;;;;
?R;-100;;;;;;;;;
72;-102;;;;;;;;;
73;-103;;;;;;;;;
74;-100;;;;;;;;;
75;-104;;;;;;;;;
76;-101;;;;;;;;;
77;-103;;;;;;;;;
79;-100;;;;;;;;;
80;-102;;;;;;;;;
82;-99;;;;;;;;;
83;-102;;;;;;;;;
84;-100;;;;;;;;;
85;-102;;;;;;;;;
86;-102;;;;;;;;;
87;-101;;;;;;;;;
88;-104;;;;;;;;;
89;-102;;;;;;;;;
C;58977;71;13:33:11:0;51.451.371.667;5.485.870.000;10;A;9292;;
90;-102;;;;;;;;;
y5;-103;;;;;;;;;
92;-101;;;;;;;;;
93;-101;;;;;;;;;
95;-102;;;;;;;;;
96;-102;;;;;;;;;
97;-99;;;;;;;;;
98;-102;;;;;;;;;
99;-102;;;;;;;;;
100;-100;;;;;;;;;
101;-103;;;;;;;;;
102;-101;;;;;;;;;
103;-99;;;;;;;;;
104;-98;;;;;;;;;
105;-102;;;;;;;;;
106;-101;;;;;;;;;
107;-100;;;;;;;;;
108;-1?8m4?T?}~.n??{?U?)0*?n?-b?2;;;;;;;;;
E;32828;67;13:33:14:0;51.451.798.333;5.486.191.667;7;A;9292;;
81;-98;;;;;;;;;
82;-95;;;;;;;;;
83;-95;;;;;;;;;
84;-96;;;;;;;;;
85;-100;;;;;;;;;
86;-98;;;;;;;;;
87;-99;;;;;;;;;
88;-98;;;;;;;;;
90;-99;;;;;;;;;
91;-99;;;;;;;;;
92;-100;;;;;;;;;
93;-100;;;;;;;;;
94;-98;;;;;;;;;
95;-94;;;;;;;;;
96;-97;;;;;;;;;
97;-95;;;;;;;;;
98;-93;;;;;;;;;
99;-94;;;;;;;;;
100;-92;;;;;;;;;
101;-93;;;;;;;;;
102;-93;;;;;;;;;
103;-93;;;;;;;;;
104;-92;;;;;;;;;
E;32828;67;13:33:14:0;51.451.798.333;5.486.191.667;7;A;9292;;
105;-91;;;;;;;;;
106;-94;;;;;;;;;
107;-94;;;;;;;;;
108;-94;;;;;;;;;
109;-93;;;;;;;;;
110;-93;;;;;;;;;
111;-94;;;;;;;;;
112;-97;;;;;;;;;
114;-94;;;;;;;;;
115;-95;;;;;;;;;
116;-94;;;;;;;;;
117;-94;;;;;;;;;
118;-94;;;;;;;;;
119;-93;;;;;;;;;
120;-95;;;;;;;;;
121;-94;;;;;;;;;
122;-94;;;;;;;;;
123;-93;;;;;;;;;
124;-94;;;;;;;;;
?12?/D?????.?yX$*?f??p??S;;;;;;;;;;
F;75450;59;13:33:16:0;51.452.178.333;5.485.840.000;9;A;9292;;
89;-95;;;;;;;;;
90;-101;;;;;;;;;
91;-101;;;;;;;;;
92;-100;;;;;;;;;
93;-100;;;;;;;;;
94;-95;;;;;;;;;
95;-94;;;;;;;;;
96;-97;;;;;;;;;
97;-100;;;;;;;;;
98;-103;;;;;;;;;
99;-101;;;;;;;;;
100;-100;;;;;;;;;
101;-100;;;;;;;;;
102;-101;;;;;;;;;
103;-98;;;;;;;;;
104;-94;;;;;;;;;
105;-91;;;;;;;;;
106;-93;;;;;;;;;
107;-96;;;;;;;;;
108;-98;;;;;;;;;
109;-97;;;;;;;;;
110;-99;;;;;;;;;
F;75450;59;13:33:16:0;51.452.178.333;5.485.840.000;9;A;9292;;
111;-98;;;;;;;;;
112;-97;;;;;;;;;
114;-96;;;;;;;;;
115;-96;;;;;;;;;
116;-94;;;;;;;;;
117;-93;;;;;;;;;
118;-95;;;;;;;;;
119;-96;;;;;;;;;
120;-97;;;;;;;;;
121;-95;;;;;;;;;
122;-95;;;;;;;;;
123;-96;;;;;;;;;
124;-97;;;;;;;;;
125;-95;;;;;;;;;
126;-94;;;;;;;;;
127;-96;;;;;;;;;
128;-102;;;;;;;;;
130;-100;;;;;;;;;
?q?1?h?;?A???O??????AS;;;;;;;;;
F;75450;59|D?Qu?Pw2?1???????G;98994;60;13:18:0;51.452.176.667;5.4???33333;8;A;9292
"97??7>>	:8->6";;;;;;;;;;
99;-76;;;;;;;;;
100;-75;;;;;;;;;
101;-1Rm;;;;;;;;;
102;-73;;;;;;;;;
103;-73;;;;;;;;;
104;-72;;;;;;;;;
105;-70;;;;;;;;;
106;-69;;;;;;;;;
107;-68;;;;;;;;;
108;-67;;;;;;;;;
109;-67;;;;;;;;;
110;-67;;;;;;;;;
111;-67;;;;;;;;;
112;-67;;;;;;;;;
113;-68;;;;;;;;;
114;-67;;;;;;;;;
115;-69;;;;;;;;;
11v(i27f=17;65;;;;;;;;;
118;-67;;;;;;;;;
G;98994;60;13:33:18:0;51.452.176.667;5.486.633.333;8;A;9292;;
119;-68;;;;;;;;;
120;-67;;;;;;;;;
121;-67;;;;;;;;;
122;-67;;;;;;;;;
123;-68;;;;;;;;;
124;-68;;;;;;;;;
125;-67;;;;;;;;;
126;-72;;;;;;;;;
127;-66;;;;;;;;;
128;-63;;;;;;;;;
130;-68;;;;;;;;;
131;-76;;;;;;;;;
132;-70;;;;;;;;;
133;-77;;;;;;;;;
134;-73;;;;;;;;;
135;-72;;;;;;;;;
136;-66;;;;;;;;;
139;-74;;;;;;;;;
140;-???h??&p?W?-?d?l????V?;;;;;;;;;
"?d?;W?";;;;;;;;;;
B;33073;76;13:33:19:8;51.45138133;5.486.621.667;9;A;92;;
10;-100;;;;;;;;;
106;-101;;;;;;;;;
107;-10P;;;;;;;;;
108;-103;;;;;;;;;
109;-103;;;;;;;;;
115;-103;;;;;;;;;
511;-103;;;;;;;;;
11b|}403;;;;;;;;;;
114;-101;;;;;;;;;
115;-10#;;;;;;;;;
118;-99???ylm101;;;;;;;;;
qv1;-15r;;;;;;;;;
??ZL+W62;;;;;;;;;;
!??;-104;;;;;;;;;
128;-100;;;;;;;;;
!31;-101;;;;;;;;;
133<- 0 ;;;;;;;;;;
133;-104;;;;;;;;;
B;33073;76;13:33:19:8;51.451.348.333;5.486.621.667;9;A;92;;
134;-103;;;;;;;;;
135;-100;;;;;;;;;
13v;-102;;;;;;;;;
137;-103;;;;;;;;;
140;-101;;;;;;;;;
$15;-100;;;;;;;;;
14.-102;;;;;;;;;;
143;"-10""";;;;;;;;;
145;-102;;;;;;;;;
146;-101;;;;;;;;;
147;-101;;;;;;;;;
148;?99?;;;;;;;;;
1?9;-10Qm150;;102;;;;;;;
151;-97;;;;;;;;;
C;58977;72;13:33:21:0;51.451.371.667;5.485.870.000;10;A;9292;;
114;-101;;;;;;;;;
115;-101;;;;;;;;;
116;-102;;;;;;;;;
117;-98;;;;;;;;;
118;-103;;;;;;;;;
119;-99;;;;;;;;;
120;-100;;;;;;;;;
121;-99;;;;;;;;;
122;-101;;;;;;;;;
123;-100;;;;;;;;;
124;-100;;;;;;;;;
125;-100;;;;;;;;;
126;-101;;;;;;;;;
127;-99;;;;;;;;;
128;-99;;;;;;;;;
130;-102;;;;;;;;;
131;-100;;;;;;;;;
132;-99;;;;;;;;;
133;-101;;;;;;;;;
134;-99;;;;;;;;;
C;58977;72;13:33:21:0;51.451.371.667;5.485.870.000;10;A;9292;;
135;-98;;;;;;;;;
136;-101;;;;;;;;;
137;-101;;;;;;;;;
138;-100;;;;;;;;;
139;-99;;;;;;;;;
140;-98;;;;;;;;;
141;-99;;;;;;;;;
142;-97;;;;;;;;;
143;-100;;;;;;;;;
144;-100;;;;;;;;;
145;-100;;;;;;;;;
146;-99;;;;;;;;;
147;-102;;;;;;;;;
148;-97;;;;;;;;;
149;-101;;;;;;;;;
150;-99;;;;;;;;;
151;-99;;;;;;;;;
152;-91?^22Ox59?J??0????;;;;;;;;;
C;58977;72;"13:}??4""????????????&0000";40;G;91?2;;;;
Y5f?-Q?7;;;;;;;;;;
"	}5??%??0?:?52/?134";;;;;;;;;;
"1?;<	90`?";;;;;;;;;;
???l.??d;;;;;;;;;;
E;32828;68;13:33:25:0;51.451.793.333;5.486.191.667;7;A;9292;;
130;-93;;;;;;;;;
131;-96;;;;;;;;;
132;-97;;;;;;;;;
133;-96;;;;;;;;;
134;-97;;;;;;;;;
135;-94;;;;;;;;;
136;-95;;;;;;;;;
139;-95;;;;;;;;;
140;-98;;;;;;;;;
141;-92;;;;;;;;;
142;-94;;;;;;;;;
143;-97;;;;;;;;;
144;-95;;;;;;;;;
146;-94;;;;;;;;;
147;-98;;;;;;;;;
148;-96;;;;;;;;;
149;-94;;;;;;;;;
150;-97;;;;;;;;;
151;-96;;;;;;;;;
152;-96;;;;;;;;;
153;-95;;;;;;;;;
154;-97;;;;;;;;;
E;32828;68;13:33:25:0;51.451.793.333;5.486.191.667;7;A;9292;;
155;-95;;;;;;;;;
