Session identifier;38155;0,197708333; 14:31:52;;;;;;;
G;98994;67;13:34:30:0;51.452.175.000;5.486.633.333;8;A;9292;;
455;-100;;;;;;;;;
456;-99;;;;;;;;;
457;-100;;;;;;;;;
458;-102;;;;;;;;;
459;-103;;;;;;;;;
461;-98;;;;;;;;;
462;-100;;;;;;;;;
463;-100;;;;;;;;;
464;-99;;;;;;;;;
466;-101;;;;;;;;;
467;-101;;;;;;;;;
469;-102;;;;;;;;;
470;-98;;;;;;;;;
471;-99;;;;;;;;;
472;-100;;;;;;;;;
478;-99;;;;;;;;;
479;-104;;;;;;;;;
B;16686;7;13:34:32:0;51.451.351.667;5.486.620.000;9;A;9292;;
442;-98;;;;;;;;;
443;-99;;;;;;;;;
444;-99;;;;;;;;;
445;-96;;;;;;;;;
446;-94;;;;;;;;;
447;-95;;;;;;;;;
448;-99;;;;;;;;;
451;-95;;;;;;;;;
452;-96;;;;;;;;;
454;-97;;;;;;;;;
455;-101;;;;;;;;;
456;-100;;;;;;;;;
457;-96;;;;;;;;;
458;-96;;;;;;;;;
459;-96;;;;;;;;;
460;-93;;;;;;;;;
461;-94;;;;;;;;;
462;-95;;;;;;;;;
463;-99;;;;;;;;;
464;-98;;;;;;;;;
466;-97;;;;;;;;;
B;16686;7;13:34:32:0;51.451.351.667;5.486.620.000;9;A;9292;;
467;-97;;;;;;;;;
468;-96;;;;;;;;;
469;-94;;;;;;;;;
470;-93;;;;;;;;;
471;-93;;;;;;;;;
472;-93;;;;;;;;;
473;-92;;;;;;;;;
474;-94;;;;;;;;;
475;-94;;;;;;;;;
476;-97;;;;;;;;;
477;-103;;;;;;;;;
478;-100;;;;;;;;;
479;-98;;;;;;;;;
480;-98;;;;;;;;;
481;-93;;;;;;;;;
482;-94;;;;;;;;;
483;-93;;;;;;;;;
484;-93;;;;;;;;;
485;-94????|?????X?)???t;;;;;;;;;
C;58977;79;13:34:35:0;51.451.370.000;5.485.870.000;10;A;9292;;
451;-65;;;;;;;;;
452;-68;;;;;;;;;
453;-68;;;;;;;;;
454;-69;;;;;;;;;
455;-69;;;;;;;;;
456;-70;;;;;;;;;
457;-76;;;;;;;;;
458;-74;;;;;;;;;
459;-74;;;;;;;;;
460;-74;;;;;;;;;
461;-75;;;;;;;;;
462;-76;;;;;;;;;
463;-75;;;;;;;;;
464;-75;;;;;;;;;
466;-76;;;;;;;;;
467;-75;;;;;;;;;
468;-75;;;;;;;;;
469;-74;;;;;;;;;
470;-74;;;;;;;;;
471;-75;;;;;;;;;
472;-75;;;;;;;;;
C;58977;79;13:34:35:0;51.451.370.000;5.485.870.000;10;A;9292;;
473;-76;;;;;;;;;
474;-75;;;;;;;;;
475;-77;;;;;;;;;
476;-77;;;;;;;;;
477;-78;;;;;;;;;
478;-77;;;;;;;;;
479;-77;;;;;;;;;
480;-76;;;;;;;;;
481;-77;;;;;;;;;
482;-78;;;;;;;;;
483;-77;;;;;;;;;
484;-78;;;;;;;;;
485;-77;;;;;;;;;
486;-77;;;;;;;;;
487;-77;;;;;;;;;
488;-77;;;;;;;;;
490;-80;;;;;;;;;
491;-80;;;;;;;;;
492;-80$???????@?sh?;;;;;;;;;
???'??|;;;;;;;;;;
E;32828;75;13:34:37:0;51.451.795.000;5.486.201.667;6;A;9292;;
466;-92;;;;;;;;;
467;-94;;;;;;;;;
468;-99;;;;;;;;;
469;-93;;;;;;;;;
470;-95;;;;;;;;;
471;-98;;;;;;;;;
472;-94;;;;;;;;;
475;-88;;;;;;;;;
476;-88;;;;;;;;;
477;-90;;;;;;;;;
478;-89;;;;;;;;;
479;-91;;;;;;;;;
480;-89;;;;;;;;;
481;-86;;;;;;;;;
482;-85;;;;;;;;;
483;-84;;;;;;;;;
484;-85;;;;;;;;;
485;-86;;;;;;;;;
486;-89;;;;;;;;;
487;-90;;;;;;;;;
488;-93;;;;;;;;;
490;-93;;;;;;;;;
E;32828;75;13:34:37:0;51.451.795.000;5.486.201.667;6;A;9292;;
491;-90;;;;;;;;;
492;-91;;;;;;;;;
493;-90;;;;;;;;;
494;-92;;;;;;;;;
495;-98;;;;;;;;;
496;-94;;;;;;;;;
498;-90;;;;;;;;;
499;-93;;;;;;;;;
500;-92;;;;;;;;;
501;-91;;;;;;;;;
502;-87;;;;;;;;;
503;-88;;;;;;;;;
504;-89;;;;;;;;;
505;-91;;;;;;;;;
506;-93;;;;;;;;;
507;-97;;;;;;;;;
508;-97;;;;;;;;;
509;-94;;;;;;;;;
51?;"%??""????%";;;;;;;;;
F;75450;67;13:34:39:0;51.452.178.333;5.485.840.000;8;A;9292;;
475;-97;;;;;;;;;
476;-99;;;;;;;;;
477;-100;;;;;;;;;
478;-102;;;;;;;;;
479;-101;;;;;;;;;
480;-99;;;;;;;;;
481;-97;;;;;;;;;
482;-101;;;;;;;;;
483;-97;;;;;;;;;
484;-99;;;;;;;;;
485;-101;;;;;;;;;
486;-100;;;;;;;;;
487;-97;;;;;;;;;
488;-98;;;;;;;;;
489;-101;;;;;;;;;
490;-100;;;;;;;;;
491;-104;;;;;;;;;
492;-102;;;;;;;;;
493;-99;;;;;;;;;
495;-103;;;;;;;;;
F;75450;67;13:34:39:0;51.452.178.333;5.485.840.000;8;A;9292;;
496;-103;;;;;;;;;
498;-102;;;;;;;;;
499;-99;;;;;;;;;
500;-100;;;;;;;;;
501;-103;;;;;;;;;
502;-99;;;;;;;;;
503;-95;;;;;;;;;
504;-99;;;;;;;;;
505;-98;;;;;;;;;
506;-98;;;;;;;;;
507;-99;;;;;;;;;
508;-101;;;;;;;;;
509;-103;;;;;;;;;
510;-102;;;;;;;;;
511;-103;;;;;;;;;
512;-100;;;;;;;;;
514;-98;;;;;;;;;
515;-97;;;;;;;;;
5????F;75450;67;=0x?)N????y????d?????%=5840000;8;A;9292;;;;
519;-95;;;;;;;;;
G;98994;68;13:34:40:0;51.452.175.000;5.486.633.333;8;A;9292;;
481;-100;;;;;;;;;
482;-102;;;;;;;;;
483;-101;;;;;;;;;
484;-100;;;;;;;;;
485;-99;;;;;;;;;
486;-100;;;;;;;;;
488;-101;;;;;;;;;
489;-98;;;;;;;;;
490;-97;;;;;;;;;
491;-101;;;;;;;;;
492;-103;;;;;;;;;
493;-100;;;;;;;;;
494;-99;;;;;;;;;
495;-98;;;;;;;;;
496;-99;;;;;;;;;
497;-97;;;;;;;;;
498;-98;;;;;;;;;
499;-100;;;;;;;;;
500;-101;;;;;;;;;
501;-98;;;;;;;;;
G;98994;68;13:34:40:0;51.452.175.000;5.486.633.333;8;A;9292;;
502;-101;;;;;;;;;
503;-99;;;;;;;;;
504;-98;;;;;;;;;
505;-99;;;;;;;;;
506;-99;;;;;;;;;
507;-100;;;;;;;;;
508;-98;;;;;;;;;
509;-98;;;;;;;;;
510;-99;;;;;;;;;
511;-101;;;;;;;;;
512;-101;;;;;;;;;
514;-102;;;;;;;;;
515;-100;;;;;;;;;
516;-100;;;;;;;;;
517;-99;;;;;;;;;
519;-99;;;;;;;;;
52G;98994;68;"13:""$:D1??b????Hs??????3??Fw?:";8;A;9292;;;;
;;;;;;;;;;
52B;16686;8;13:34:42:0;51.451.351.667;5.486.620.000;9;A;9292;;
490;-96;;;;;;;;;
491;-96;;;;;;;;;
492;-93;;;;;;;;;
493;-94;;;;;;;;;
494;-98;;;;;;;;;
495;-97;;;;;;;;;
496;-95;;;;;;;;;
498;-91;;;;;;;;;
499;-92;;;;;;;;;
500;-94;;;;;;;;;
501;-92;;;;;;;;;
502;-91;;;;;;;;;
503;-94;;;;;;;;;
504;-97;;;;;;;;;
505;-94;;;;;;;;;
506;-97;;;;;;;;;
507;-98;;;;;;;;;
508;-97;;;;;;;;;
509;-99;;;;;;;;;
510;-99;;;;;;;;;
511;-98;;;;;;;;;
512;-96;;;;;;;;;
B;16686;8;13:34:42:0;51.451.351.667;5.486.620.000;9;A;9292;;
514;-99;;;;;;;;;
516;-98;;;;;;;;;
517;-99;;;;;;;;;
518;-97;;;;;;;;;
519;-99;;;;;;;;;
520;-102;;;;;;;;;
521;-94;;;;;;;;;
522;-96;;;;;;;;;
523;-96;;;;;;;;;
524;-94;;;;;;;;;
525;-94;;;;;;;;;
526;-94;;;;;;;;;
527;-95;;;;;;;;;
528;-92;;;;;;;;;
529;-96;;;;;;;;;
530;-96;;;;;;;;;
531;-98;;;;;;;;;
532;-101;;;;;;;;;
"52;5]W??;?.^?????l¤B???A";;;;;;;;;;
C;58977;80;13:34:44:0;51.451.370.000;5.485.870.000;10;A;9292;;
498;-84;;;;;;;;;
499;-84;;;;;;;;;
500;-84;;;;;;;;;
501;-84;;;;;;;;;
502;-83;;;;;;;;;
503;-83;;;;;;;;;
504;-84;;;;;;;;;
505;-83;;;;;;;;;
506;-84;;;;;;;;;
507;-85;;;;;;;;;
508;-85;;;;;;;;;
509;-85;;;;;;;;;
510;-85;;;;;;;;;
511;-85;;;;;;;;;
512;-85;;;;;;;;;
514;-86;;;;;;;;;
515;-86;;;;;;;;;
516;-86;;;;;;;;;
517;-87;;;;;;;;;
518;-87;;;;;;;;;
519;-87;;;;;;;;;
C;58977;80;13:34:44:0;51.451.370.000;5.485.870.000;10;A;9292;;
520;-88;;;;;;;;;
521;-93;;;;;;;;;
522;-94;;;;;;;;;
523;-93;;;;;;;;;
524;-94;;;;;;;;;
525;-93;;;;;;;;;
526;-93;;;;;;;;;
527;-95;;;;;;;;;
529;-89;;;;;;;;;
530;-89;;;;;;;;;
531;-89;;;;;;;;;
532;-90;;;;;;;;;
533;-90;;;;;;;;;
534;-90;;;;;;;;;
535;-91;;;;;;;;;
536;-91;;;;;;;;;
538;-91;;;;;;;;;
539;-91;;;;;;;;;
540;-92;;;;;;;;;
???U??G64s???F?IG+?h#???;;;;;;;;;;
E;32828;76;13:34:47:0;51.451.800.000;5.486.206.667;6;A;9292;;
514;-92;;;;;;;;;
515;-100;;;;;;;;;
516;-94;;;;;;;;;
517;-95;;;;;;;;;
518;-94;;;;;;;;;
519;-94;;;;;;;;;
520;-94;;;;;;;;;
523;-88;;;;;;;;;
524;-87;;;;;;;;;
525;-86;;;;;;;;;
526;-87;;;;;;;;;
527;-88;;;;;;;;;
528;-85;;;;;;;;;
531;-99;;;;;;;;;
532;-94;;;;;;;;;
533;-91;;;;;;;;;
534;-95;;;;;;;;;
535;-96;;;;;;;;;
536;-88;;;;;;;;;
538;-87;;;;;;;;;
539;-87;;;;;;;;;
E;32828;76;13:34:47:0;51.451.800.000;5.486.206.667;6;A;9292;;
540;-86;;;;;;;;;
541;-84;;;;;;;;;
542;-83;;;;;;;;;
543;-82;;;;;;;;;
544;-82;;;;;;;;;
546;-87;;;;;;;;;
547;-87;;;;;;;;;
548;-89;;;;;;;;;
549;-93;;;;;;;;;
550;-94;;;;;;;;;
551;-93;;;;;;;;;
552;-93;;;;;;;;;
553;-99;;;;;;;;;
554;-93;;;;;;;;;
555;-89;;;;;;;;;
556;-88;;;;;;;;;
557;-87;;;;;;;;;
558;-87;;;;;;;;;
559;-88;;;;;;;;;
F;75450;68;13:34:49:0;51.452.178.333;5.485.840.000;7;A;9292;;
523;-103;;;;;;;;;
524;-104;;;;;;;;;
526;-101;;;;;;;;;
527;-100;;;;;;;;;
528;-98;;;;;;;;;
531;-94;;;;;;;;;
532;-93;;;;;;;;;
533;-94;;;;;;;;;
534;-94;;;;;;;;;
535;-93;;;;;;;;;
536;-93;;;;;;;;;
537;-94;;;;;;;;;
538;-94;;;;;;;;;
539;-94;;;;;;;;;
540;-94;;;;;;;;;
541;-94;;;;;;;;;
542;-95;;;;;;;;;
543;-94;;;;;;;;;
544;-96;;;;;;;;;
546;-94;;;;;;;;;
547;-95;;;;;;;;;
F;75450;68;13:34:49:0;51.452.178.333;5.485.840.000;7;A;9292;;
548;-93;;;;;;;;;
549;-94;;;;;;;;;
550;-96;;;;;;;;;
551;-96;;;;;;;;;
552;-96;;;;;;;;;
553;-103;;;;;;;;;
554;-99;;;;;;;;;
555;-101;;;;;;;;;
556;-100;;;;;;;;;
557;-101;;;;;;;;;
558;-101;;;;;;;;;
559;-99;;;;;;;;;
560;-98;;;;;;;;;
562;-99;;;;;;;;;
563;-97;;;;;;;;;
564;-101;;;;;;;;;
565;-97;;;;;;;;;
566;-99;;;;;;;;;
??r???h?;;;;;;;;;;
G;98994;69;13:34:51:0;51.452.175.000;5.486.633.333;8;A;9292;;
531;-96;;;;;;;;;
532;-98;;;;;;;;;
533;-97;;;;;;;;;
534;-99;;;;;;;;;
535;-100;;;;;;;;;
536;-99;;;;;;;;;
537;-100;;;;;;;;;
538;-97;;;;;;;;;
539;-100;;;;;;;;;
540;-97;;;;;;;;;
541;-96;;;;;;;;;
542;-97;;;;;;;;;
543;-94;;;;;;;;;
544;-98;;;;;;;;;
545;-98;;;;;;;;;
546;-97;;;;;;;;;
547;-99;;;;;;;;;
548;-98;;;;;;;;;
549;-99;;;;;;;;;
550;-99;;;;;;;;;
551;-97;;;;;;;;;
G;98994;69;13:34:51:0;51.452.175.000;5.486.633.333;8;A;9292;;
552;-98;;;;;;;;;
553;-100;;;;;;;;;
554;-97;;;;;;;;;
555;-98;;;;;;;;;
556;-97;;;;;;;;;
557;-101;;;;;;;;;
558;-102;;;;;;;;;
559;-101;;;;;;;;;
560;-98;;;;;;;;;
562;-99;;;;;;;;;
563;-97;;;;;;;;;
564;-97;;;;;;;;;
565;-98;;;;;;;;;
566;-99;;;;;;;;;
567;-97;;;;;;;;;
568;-99;;;;;;;;;
570;-96;;;;;;;;;
571;-96;;;;;;;;;
572;?9?|?????z8?a?t?D??#w?]?;;;;;;;;;
B;16686;9;13:34:52:0;51.451.351.667;5.486.620.000;9;A;9292;;
538;-90;;;;;;;;;
539;-91;;;;;;;;;
540;-92;;;;;;;;;
541;-93;;;;;;;;;
542;-93;;;;;;;;;
543;-91;;;;;;;;;
544;-91;;;;;;;;;
546;-94;;;;;;;;;
547;-94;;;;;;;;;
548;-94;;;;;;;;;
549;-94;;;;;;;;;
550;-95;;;;;;;;;
551;-98;;;;;;;;;
552;-98;;;;;;;;;
553;-97;;;;;;;;;
554;-100;;;;;;;;;
555;-102;;;;;;;;;
556;-102;;;;;;;;;
557;-103;;;;;;;;;
560;-100;;;;;;;;;
562;-92;;;;;;;;;
B;16686;9;13:34:52:0;51.451.351.667;5.486.620.000;9;A;9292;;
563;-92;;;;;;;;;
564;-93;;;;;;;;;
565;-94;;;;;;;;;
566;-94;;;;;;;;;
567;-94;;;;;;;;;
N568;-95;;;;;;;;;
569;-99;;;;;;;;;
U1P;}100;;;;;;;;;
571;!=<<;;;;;;;;;
?72;-101;;;;;;;;;
563;-99;;;;;;;;;
574;-99;;;;;;;;;
575;-100;;;;;;;;;
576;-99;;;;;;;;;
577;-94;;;;;;;;;
578;-93;;;;;;;;;
579;-92;;;;;;;;;
580;-92;;;;;;;;;
"58;s*??";;;;;;;;;;
Xf????????;;;;;;;;;;
C;58977;81;13:34:54:0;51.451.370.000;5.485.870.000;10;A;9292;;
546;-90;;;;;;;;;
547;-93;;;;;;;;;
548;-94;;;;;;;;;
549;-95;;;;;;;;;
550;-97;;;;;;;;;
551;-98;;;;;;;;;
552;-96;;;;;;;;;
553;-95;;;;;;;;;
554;-99;;;;;;;;;
555;-97;;;;;;;;;
556;-99;;;;;;;;;
557;-100;;;;;;;;;
558;-100;;;;;;;;;
55);-99;;;;;;;;;
560;-103;;;;;;;;;
562;-99;;;;;;;;;
563;-97;;;;;;;;;
564;-99;;;;;;;;;
565;-99;;;;;;;;;
566;-100;;;;;;;;;
567;-98;;;;;;;;;
C;58977;81;13:??UD????C{???n???5D?0??0;10;A;9292;;;;
590;-97;;;;;;;;;
591;-98;;;;;;;;;
E;32828;77;13:34:58:0;51.451.808.333;5.486.200.000;6;A;9292;;
561;-82;;;;;;;;;
562;-87;;;;;;;;;
563;-87;;;;;;;;;
564;-86;;;;;;;;;
565;-85;;;;;;;;;
566;-84;;;;;;;;;
567;-83;;;;;;;;;
568;-85;;;;;;;;;
570;-83;;;;;;;;;
571;-84;;;;;;;;;
572;-84;;;;;;;;;
573;-85;;;;;;;;;
574;-85;;;;;;;;;
575;-85;;;;;;;;;
576;-84;;;;;;;;;
578;-84;;;;;;;;;
579;-85;;;;;;;;;
580;-85;;;;;;;;;
581;-85;;;;;;;;;
582;-85;;;;;;;;;
583;-85;;;;;;;;;
584;-86;;;;;;;;;
E;32828;77;13:34:58:0;51.451.808.333;5.486.200.000;6;A;9292;;
586;-86;;;;;;;;;
587;-86;;;;;;;;;
588;-88;;;;;;;;;
589;-89;;;;;;;;;
590;-88;;;;;;;;;
591;-89;;;;;;;;;
592;-88;;;;;;;;;
595;-88;;;;;;;;;
596;-89;;;;;;;;;
597;-88;;;;;;;;;
598;-89;;;;;;;;;
599;-88;;;;;;;;;
600;-88;;;;;;;;;
601;-88;;;;;;;;;
602;-88;;;;;;;;;
603;-88;;;;;;;;;
604;-88;;;;;;;;;
605;-88;;;;;;;;;
606;-87;;;;;;;;;
607;-86;;;;;;;;;
F;75450;69;13:34:59:0;51.452.178.333;5.485.840.000;7;A;9292;;
570;-97;;;;;;;;;
571;-99;;;;;;;;;
572;-100;;;;;;;;;
573;-99;;;;;;;;;
574;-96;;;;;;;;;
575;-95;;;;;;;;;
576;-96;;;;;;;;;
578;-102;;;;;;;;;
579;-99;;;;;;;;;
580;-101;;;;;;;;;
581;-99;;;;;;;;;
582;-100;;;;;;;;;
583;-99;;;;;;;;;
584;-99;;;;;;;;;
585;-101;;;;;;;;;
586;-101;;;;;;;;;
587;-99;;;;;;;;;
588;-99;;;;;;;;;
589;-98;;;;;;;;;
590;-99;;;;;;;;;
591;-101;;;;;;;;;
F;75450;69;13:34:59:0;51.452.178.333;5.485.840.000;7;A;9292;;
594;-93;;;;;;;;;
595;-93;;;;;;;;;
596;-94;;;;;;;;;
597;-95;;;;;;;;;
598;-96;;;;;;;;;
599;-96;;;;;;;;;
600;-95;;;;;;;;;
601;-96;;;;;;;;;
602;-96;;;;;;;;;
603;-96;;;;;;;;;
604;-95;;;;;;;;;
605;-96;;;;;;;;;
606;-96;;;;;;;;;
607;-97;;;;;;;;;
608;-99;;;;;;;;;
G;98994;70;13:35:1:0;51.452.175.000;5.486.631.667;8;A;9292;;
578;-96;;;;;;;;;
579;-100;;;;;;;;;
580;-98;;;;;;;;;
581;-96;;;;;;;;;
582;-99;;;;;;;;;
583;-98;;;;;;;;;
584;-99;;;;;;;;;
585;-98;;;;;;;;;
586;-97;;;;;;;;;
*5:7;-100;;;;;;;;;
588;-99;;;;;;;;;
?09;?19l?p90;-O?3?:?(???_???[T?+??p?D??3??m???i???<?2Q????>?C?????Q??p?Yt??;?~;;;;;;;
G;98994;70;13:35:1:0;51.452.175.000;5.486.631.667;8;A;9292;;
599;-97;;;;;;;;;
600;-98;;;;;;;;;
601;-99;;;;;;;;;
602;-99;;;;;;;;;
603;-101;;;;;;;;;
604;-99;;;;;;;;;
605;-98;;;;;;;;;
606;-101;;;;;;;;;
607;-98;;;;;;;;;
608;-97;;;;;;;;;
B;16686;10;13:35:3:0;51.451.351.667;5.486.620.000;9;A;9292;;
586;-98;;;;;;;;;
587;-101;;;;;;;;;
588;-99;;;;;;;;;
589;-101;;;;;;;;;
590;-100;;;;;;;;;
591;-98;;;;;;;;;
592;-98;;;;;;;;;
595;-100;;;;;;;;;
596;-100;;;;;;;;;
597;-101;;;;;;;;;
598;-101;;;;;;;;;
599;-101;;;;;;;;;
600;-100;;;;;;;;;
601;-99;;;;;;;;;
602;-100;;;;;;;;;
603;-100;;;;;;;;;
604;-99;;;;;;;;;
605;-100;;;;;;;;;
606;-98;;;;;;;;;
607;-98;;;;;;;;;
B;16686;10;13:35:3:0;51.451.351.667;5.486.620.000;9;A;9292;;
608;-97;;;;;;;;;
C;58977;82;13:35:5:0;51.451.370.000;5.485.870.000;10;A;9292;;
595;-93;;;;;;;;;
596;-97;;;;;;;;;
597;-96;;;;;;;;;
598;-96;;;;;;;;;
599;-95;;;;;;;;;
600;-96;;;;;;;;;
601;-97;;;;;;;;;
602;-97;;;;;;;;;
603;-96;;;;;;;;;
604;-95;;;;;;;;;
605;-97;;;;;;;;;
606;-96;;;;;;;;;
607;-96;;;;;;;;;
608;-96;;;;;;;;;
